1772727546.657315, EVENT DETECTED,6908
1772740960.4659624, EVENT DETECTED,20272
1772742143.4282067, EVENT DETECTED,6229
1772742463.4185832, SUSTAINED,157.9
1773049303.9019408, EVENT DETECTED,19046
1773054047.1398518, EVENT DETECTED,13699
1773054220.1341994, SUSTAINED,74.0
1773061951.8768091, EVENT DETECTED,7245
1773062583.8562922, EVENT DETECTED,11853
1773062601.8557022, EVENT DETECTED,18630
1773062621.8550112, EVENT DETECTED,13413
1773062641.8543243, EVENT DETECTED,17011
1773062662.853692, EVENT DETECTED,15572
1773062681.852966, EVENT DETECTED,17506
1773062705.852164, EVENT DETECTED,18902
1773062722.851625, EVENT DETECTED,17084
1773062741.851005, EVENT DETECTED,10455
1773062761.8504682, EVENT DETECTED,17400
1773062897.8459044, SUSTAINED,93.9
1773063005.8425183, SUSTAINED,452.4
1773063022.8430943, SUSTAINED,82.9
1773063079.8404129, SUSTAINED,186.1
1773063123.8387432, SUSTAINED,195.4
1773063139.837891, SUSTAINED,142.7
1773063202.8357863, SUSTAINED,383.2
1773063244.8345509, SUSTAINED,138.4
